時間,温度
2019-01-19 02:14:40.012577,71.98
2019-01-19 02:14:41.015378,45.65
2019-01-19 02:14:42.016685,65.44
2019-01-19 02:14:43.019091,93.5
2019-01-19 02:14:44.020239,8.93
2019-01-19 02:14:45.022080,58.68
2019-01-19 02:14:46.026449,39.04
2019-01-19 02:14:47.031424,66.64
2019-01-19 02:14:48.036288,54.02
2019-01-19 02:14:49.040107,33.94
2019-01-19 02:14:50.041767,98.66
2019-01-19 02:14:51.043826,76.43
2019-01-19 02:14:52.045898,6.87
2019-01-19 02:14:53.051031,31.87
2019-01-19 02:14:54.053232,4.94
2019-01-19 02:14:55.055599,68.68
2019-01-19 02:14:56.059481,86.26
2019-01-19 02:14:57.061999,97.5
2019-01-19 02:14:58.066439,40.32
2019-01-19 02:14:59.070996,44.76
2019-01-19 02:15:00.072600,64.45
2019-01-19 02:15:01.075023,76.65
2019-01-19 02:15:02.078509,63.31
2019-01-19 02:15:03.082292,74.73
2019-01-19 02:15:04.084952,72.18
2019-01-19 02:15:05.087818,33.21
2019-01-19 02:15:06.091420,6.04
2019-01-19 02:15:07.094073,33.09
2019-01-19 02:15:08.097672,22.36
2019-01-19 02:15:09.101811,38.54
2019-01-19 02:15:10.104099,21.8
2019-01-19 02:15:11.107317,93.84
2019-01-19 02:15:12.110463,4.92
2019-01-19 02:15:13.115694,61.99
2019-01-19 02:15:14.117300,10.88
2019-01-19 02:15:15.120173,71.23
2019-01-19 02:15:16.123342,86.74
2019-01-19 02:15:17.127450,67.37
2019-01-19 02:15:18.129737,15.06
2019-01-19 02:15:19.133335,25.39
2019-01-19 02:15:20.138727,88.41
2019-01-19 02:15:21.157506,5.48
2019-01-19 02:15:22.160340,37.33
2019-01-19 02:15:23.165577,20.89
2019-01-19 02:15:24.168817,4.84
2019-01-19 02:15:25.172567,66.61
2019-01-19 02:15:26.178051,77.55
2019-01-19 02:15:27.181129,33.33
2019-01-19 02:15:28.183115,67.83
2019-01-19 02:15:29.186351,98.78
2019-01-19 02:15:30.188098,42.9
2019-01-19 02:15:31.192006,67.08
2019-01-19 02:15:32.194853,43.79
2019-01-19 02:15:33.200458,64.05
2019-01-19 02:15:34.205109,67.9
2019-01-19 02:15:35.206970,3.41
2019-01-19 02:15:36.210258,37.3
2019-01-19 02:15:37.215850,99.21
2019-01-19 02:15:38.218940,45.52
2019-01-19 02:15:39.224538,9.62
2019-01-19 02:15:40.229386,76.25
2019-01-19 02:15:41.231957,56.94
2019-01-19 02:15:42.234551,95.45
2019-01-19 02:15:43.236882,69.16
2019-01-19 02:15:44.239172,19.36
2019-01-19 02:15:45.244538,97.08
2019-01-19 02:15:46.247038,51.72
2019-01-19 02:15:47.251618,32.22
2019-01-19 02:15:48.255197,6.95
2019-01-19 02:15:49.257190,94.84
2019-01-19 02:15:50.258454,85.1
2019-01-19 02:15:51.262423,22.98
2019-01-19 02:15:52.263870,45.33
2019-01-19 02:15:53.266459,73.79
2019-01-19 02:15:54.269968,0.13
2019-01-19 02:15:55.273445,13.24
2019-01-19 02:15:56.276994,46.36
2019-01-19 02:15:57.278219,49.64
2019-01-19 02:15:58.281826,82.62
2019-01-19 02:15:59.284177,92.62
2019-01-19 02:16:00.285893,84.04
2019-01-19 02:16:01.287902,7.81
2019-01-19 02:16:02.292829,12.61
2019-01-19 02:16:03.294711,20.29
2019-01-19 02:16:04.296713,32.85
2019-01-19 02:16:05.302908,34.01
2019-01-19 02:16:06.304744,94.07
2019-01-19 02:16:07.309882,14.06
2019-01-19 02:16:08.311031,55.1
2019-01-19 02:16:09.316338,50.44
2019-01-19 02:16:10.319171,40.1
2019-01-19 02:16:11.324312,94.94
2019-01-19 02:16:12.325778,3.48
2019-01-19 02:16:13.327334,84.2
2019-01-19 02:16:14.328811,61.39
2019-01-19 02:16:15.331094,86.31
2019-01-19 02:16:16.337282,62.64
2019-01-19 02:16:17.343276,62.42
2019-01-19 02:16:18.344346,82.64
2019-01-19 02:16:19.345821,63.0
2019-01-19 02:16:20.351775,43.75
2019-01-19 02:16:21.354310,32.96
2019-01-19 02:16:22.355551,63.47
2019-01-19 02:16:23.358364,27.54
2019-01-19 02:16:24.363451,42.93
2019-01-19 02:16:25.364775,95.0
2019-01-19 02:16:26.367950,1.86
2019-01-19 02:16:27.369718,30.31
2019-01-19 02:16:28.374478,74.06
2019-01-19 02:16:29.377353,90.44
2019-01-19 02:16:30.382636,66.52
2019-01-19 02:16:31.388577,39.79
2019-01-19 02:16:32.389776,47.74
2019-01-19 02:16:33.394802,51.33
2019-01-19 02:16:34.400676,39.89
2019-01-19 02:16:35.404138,20.82
2019-01-19 02:16:36.406479,30.22
2019-01-19 02:16:37.408548,31.8
2019-01-19 02:16:38.413494,99.8
2019-01-19 02:16:39.417703,55.15
2019-01-19 02:16:40.420783,96.59
2019-01-19 02:16:41.422861,21.86
2019-01-19 02:16:42.424811,67.41
2019-01-19 02:16:43.427617,92.46
2019-01-19 02:16:44.433543,40.16
2019-01-19 02:16:45.440024,73.63
2019-01-19 02:16:46.441178,53.48
2019-01-19 02:16:47.443893,98.33
2019-01-19 02:16:48.445333,10.31
2019-01-19 02:16:49.447168,46.27
2019-01-19 02:16:50.449923,72.45
2019-01-19 02:16:51.452083,76.12
2019-01-19 02:16:52.455830,88.14
2019-01-19 02:16:53.461279,74.55
2019-01-19 02:16:54.467352,35.42
2019-01-19 02:16:55.469742,90.01
2019-01-19 02:16:56.475729,68.34
2019-01-19 02:16:57.480378,95.95
2019-01-19 02:16:58.486420,4.96
2019-01-19 02:16:59.490059,49.4
2019-01-19 02:17:00.494449,29.6
2019-01-19 02:17:01.497938,41.15
2019-01-19 02:17:02.500746,88.77
2019-01-19 02:17:03.503364,76.17
2019-01-19 02:17:04.506448,38.46
2019-01-19 02:17:05.509282,14.8
2019-01-19 02:17:06.511833,90.33
2019-01-19 02:17:07.515677,83.82
2019-01-19 02:17:08.521579,17.12
2019-01-19 02:17:09.523614,35.97
2019-01-19 02:17:10.526729,97.25
2019-01-19 02:17:11.529555,75.15
2019-01-19 02:17:12.532993,18.22
2019-01-19 02:17:13.538404,77.42
2019-01-19 02:17:14.539640,93.09
2019-01-19 02:17:15.547077,27.45
2019-01-19 02:17:16.549263,59.7
2019-01-19 02:17:17.554017,42.14
2019-01-19 02:17:18.559319,95.3
2019-01-19 02:17:19.561286,22.58
2019-01-19 02:17:20.562782,61.56
2019-01-19 02:17:21.567979,66.11
2019-01-19 02:17:22.569889,81.73
2019-01-19 02:17:23.575593,81.27
2019-01-19 02:17:24.578209,59.8
2019-01-19 02:17:25.581389,56.41
2019-01-19 02:17:26.588286,15.03
2019-01-19 02:17:27.594319,41.11
2019-01-19 02:17:28.598308,58.92
2019-01-19 02:17:29.603456,6.21
2019-01-19 02:17:30.608573,14.27
2019-01-19 02:17:31.610358,4.32
2019-01-19 02:17:32.613410,37.84
2019-01-19 02:17:33.617055,47.13
2019-01-19 02:17:34.621160,26.07
2019-01-19 02:17:35.626873,31.95
2019-01-19 02:17:36.630095,54.01
2019-01-19 02:17:37.633340,84.41
2019-01-19 02:17:38.635222,94.15
2019-01-19 02:17:39.640979,24.22
2019-01-19 02:17:40.645462,34.81
2019-01-19 02:17:41.650941,47.66
2019-01-19 02:17:42.652631,61.59
2019-01-19 02:17:43.655789,36.16
2019-01-19 02:17:44.660231,15.26
2019-01-19 02:17:45.665579,4.77
2019-01-19 02:17:46.670211,50.34
2019-01-19 02:17:47.672028,91.01
2019-01-19 02:17:48.676530,13.73
2019-01-19 02:17:49.683437,58.45
2019-01-19 02:17:50.685281,52.78
2019-01-19 02:17:51.691756,52.45
2019-01-19 02:17:52.694871,97.44
2019-01-19 02:17:53.696878,45.95
2019-01-19 02:17:54.701390,53.42
2019-01-19 02:17:55.704617,44.08
2019-01-19 02:17:56.707590,93.35
2019-01-19 02:17:57.711069,92.67
2019-01-19 02:17:58.715426,82.42
2019-01-19 02:17:59.718716,27.21
2019-01-19 02:18:00.720520,16.68
2019-01-19 02:18:01.723782,85.4
2019-01-19 02:18:02.727878,54.72
2019-01-19 02:18:03.733783,58.93
2019-01-19 02:18:04.735881,20.77
2019-01-19 02:18:05.737616,67.43
2019-01-19 02:18:06.742760,83.44
2019-01-19 02:18:07.745341,82.34
2019-01-19 02:18:08.747450,0.36
2019-01-19 02:18:09.749877,47.61
2019-01-19 02:18:10.753595,23.05
2019-01-19 02:18:11.758595,93.97
2019-01-19 02:18:12.761015,0.06
2019-01-19 02:18:13.765222,30.06
2019-01-19 02:18:14.767683,57.83
2019-01-19 02:18:15.770019,22.12
2019-01-19 02:18:16.772964,69.98
2019-01-19 02:18:17.776224,9.38
2019-01-19 02:18:18.779422,40.23
2019-01-19 02:18:19.782494,43.74
2019-01-19 02:18:20.787628,60.3
2019-01-19 02:18:21.790660,6.58
2019-01-19 02:18:22.794782,40.71
2019-01-19 02:18:23.796636,34.77
2019-01-19 02:18:24.798504,16.3
2019-01-19 02:18:25.802424,69.54
2019-01-19 02:18:26.804780,5.99
2019-01-19 02:18:27.808542,16.81
2019-01-19 02:18:28.811968,57.18
2019-01-19 02:18:29.815027,49.41
2019-01-19 02:18:30.817526,23.39
2019-01-19 02:18:31.821933,61.26
2019-01-19 02:18:32.827971,73.66
2019-01-19 02:18:33.830618,97.6
2019-01-19 02:18:34.832909,48.46
2019-01-19 02:18:35.835308,11.74
2019-01-19 02:18:36.837477,79.34
2019-01-19 02:18:37.840212,69.73
2019-01-19 02:18:38.842982,65.85
2019-01-19 02:18:39.847054,88.43
2019-01-19 02:18:40.852000,89.59
2019-01-19 02:18:41.854008,18.1
2019-01-19 02:18:42.856415,12.94
2019-01-19 02:18:43.859206,80.05
2019-01-19 02:18:44.863039,31.02
2019-01-19 02:18:45.872678,23.29
2019-01-19 02:18:46.875974,22.78
2019-01-19 02:18:47.878060,73.67
2019-01-19 02:18:48.880176,3.7
2019-01-19 02:18:49.882155,50.4
2019-01-19 02:18:50.888781,37.07
2019-01-19 02:18:51.893587,56.39
2019-01-19 02:18:52.896545,92.6
2019-01-19 02:18:53.900511,94.15
2019-01-19 02:18:54.906577,94.69
2019-01-19 02:18:55.912084,76.31
2019-01-19 02:18:56.916587,70.73
2019-01-19 02:18:57.921802,27.16
2019-01-19 02:18:58.925947,31.99
2019-01-19 02:18:59.928377,72.22
2019-01-19 02:19:00.932768,19.77
2019-01-19 02:19:01.936288,60.26
2019-01-19 02:19:02.938667,25.55
2019-01-19 02:19:03.945302,1.0
2019-01-19 02:19:04.949425,4.49
2019-01-19 02:19:05.955663,86.6
2019-01-19 02:19:06.959614,70.5
2019-01-19 02:19:07.963469,74.81
2019-01-19 02:19:08.964810,36.34
2019-01-19 02:19:09.966719,40.58
2019-01-19 02:19:10.972081,64.24
2019-01-19 02:19:11.974151,30.2
2019-01-19 02:19:12.976272,67.7
2019-01-19 02:19:13.982625,35.45
2019-01-19 02:19:14.987460,71.96
2019-01-19 02:19:15.990214,1.99
2019-01-19 02:19:16.992071,71.1
2019-01-19 02:19:17.993795,92.63
2019-01-19 02:19:18.997445,14.22
2019-01-19 02:19:20.000950,54.4
2019-01-19 02:19:21.006071,57.64
2019-01-19 02:19:22.012929,78.21
2019-01-19 02:19:23.018520,96.52
2019-01-19 02:19:24.020185,17.46
2019-01-19 02:19:25.025721,80.07
2019-01-19 02:19:26.030172,47.12
2019-01-19 02:19:27.033759,11.66
2019-01-19 02:19:28.036678,82.33
2019-01-19 02:19:29.038786,40.47
2019-01-19 02:19:30.043288,55.36
2019-01-19 02:19:31.047969,22.49
2019-01-19 02:19:32.049186,69.89
2019-01-19 02:19:33.051349,77.23
2019-01-19 02:19:34.053099,20.79
2019-01-19 02:19:35.057811,55.24
2019-01-19 02:19:36.059487,54.05
2019-01-19 02:19:37.060823,37.61
2019-01-19 02:19:38.062930,63.66
2019-01-19 02:19:39.064553,52.08
2019-01-19 02:19:40.067037,0.44
2019-01-19 02:19:41.073569,47.23
2019-01-19 02:19:42.076035,7.72
2019-01-19 02:19:43.081305,48.87
2019-01-19 02:19:44.086657,89.91
2019-01-19 02:19:45.091846,66.08
2019-01-19 02:19:46.098253,67.53
2019-01-19 02:19:47.101805,62.15
2019-01-19 02:19:48.104044,22.13
2019-01-19 02:19:49.109297,87.67
2019-01-19 02:19:50.111126,9.92
2019-01-19 02:19:51.117494,9.82
2019-01-19 02:19:52.126106,29.69
2019-01-19 02:19:53.128617,64.72
2019-01-19 02:19:54.131781,72.89
2019-01-19 02:19:55.136721,42.74
2019-01-19 02:19:56.138804,91.58
2019-01-19 02:19:57.140610,68.06
2019-01-19 02:19:58.141962,76.51
2019-01-19 02:19:59.147960,71.41
2019-01-19 02:20:00.154487,79.46
2019-01-19 02:20:01.156172,89.61
2019-01-19 02:20:02.158022,24.4
2019-01-19 02:20:03.163982,20.47
2019-01-19 02:20:04.169616,72.46
2019-01-19 02:20:05.175435,50.55
2019-01-19 02:20:06.177718,23.83
2019-01-19 02:20:07.181585,27.84
2019-01-19 02:20:08.183304,18.51
2019-01-19 02:20:09.186766,29.55
2019-01-19 02:20:10.188700,15.28
2019-01-19 02:20:11.191603,94.82
2019-01-19 02:20:12.193950,56.55
2019-01-19 02:20:13.198177,42.78
2019-01-19 02:20:14.202656,22.63
2019-01-19 02:20:15.208406,46.31
2019-01-19 02:20:16.214390,88.73
2019-01-19 02:20:17.216847,95.05
2019-01-19 02:20:18.219763,9.39
2019-01-19 02:20:19.221307,14.68
2019-01-19 02:20:20.225685,31.42
2019-01-19 02:20:21.228398,49.02
2019-01-19 02:20:22.230658,42.15
2019-01-19 02:20:23.233357,15.82
2019-01-19 02:20:24.239126,98.62
2019-01-19 02:20:25.240943,32.16
2019-01-19 02:20:26.246936,35.28
2019-01-19 02:20:27.251359,0.74
2019-01-19 02:20:28.253515,7.71
2019-01-19 02:20:29.260586,82.59
2019-01-19 02:20:30.264753,39.27
2019-01-19 02:20:31.268666,85.34
2019-01-19 02:20:32.270731,29.24
2019-01-19 02:20:33.272192,8.01
2019-01-19 02:20:34.278542,5.41
2019-01-19 02:20:35.282577,23.64
2019-01-19 02:20:36.286437,76.84
2019-01-19 02:20:37.292361,27.57
2019-01-19 02:20:38.297155,40.49
2019-01-19 02:20:39.298965,0.89
2019-01-19 02:20:40.301639,40.24
2019-01-19 02:20:41.306342,98.12
2019-01-19 02:20:42.308664,51.39
2019-01-19 02:20:43.311476,49.39
2019-01-19 02:20:44.316075,43.23
2019-01-19 02:20:45.319957,31.62
2019-01-19 02:20:46.322070,39.05
2019-01-19 02:20:47.326327,21.48
2019-01-19 02:20:48.331241,6.15
2019-01-19 02:20:49.332931,97.63
2019-01-19 02:20:50.337075,12.02
2019-01-19 02:20:51.342526,29.57
2019-01-19 02:20:52.346083,51.88
2019-01-19 02:20:53.352493,32.97
2019-01-19 02:20:54.357798,25.98
2019-01-19 02:20:55.361582,78.14
2019-01-19 02:20:56.363679,20.23
2019-01-19 02:20:57.366231,70.41
2019-01-19 02:20:58.369674,92.6
2019-01-19 02:20:59.375363,51.25
2019-01-19 02:21:00.379375,15.42
2019-01-19 02:21:01.382302,37.75
2019-01-19 02:21:02.385676,14.4
2019-01-19 02:21:03.387948,72.41
2019-01-19 02:21:04.391994,82.17
2019-01-19 02:21:05.397325,85.66
2019-01-19 02:21:06.402340,0.21
2019-01-19 02:21:07.406133,9.0
2019-01-19 02:21:08.409514,76.9
2019-01-19 02:21:09.412765,5.78
2019-01-19 02:21:10.416508,13.3
2019-01-19 02:21:11.419959,77.71
2019-01-19 02:21:12.424017,13.51
2019-01-19 02:21:13.427047,11.92
2019-01-19 02:21:14.431481,6.8
2019-01-19 02:21:15.437755,56.61
2019-01-19 02:21:16.441630,71.3
2019-01-19 02:21:17.445751,99.35
2019-01-19 02:21:18.451073,96.96
2019-01-19 02:21:19.455292,7.28
2019-01-19 02:21:20.462480,52.04
2019-01-19 02:21:21.467719,14.8
2019-01-19 02:21:22.471752,52.22
2019-01-19 02:21:23.475878,57.79
2019-01-19 02:21:24.480536,16.77
2019-01-19 02:21:25.483524,19.98
2019-01-19 02:21:26.490990,96.67
2019-01-19 02:21:27.493102,84.5
2019-01-19 02:21:28.496787,72.13
2019-01-19 02:21:29.498499,38.68
2019-01-19 02:21:30.504852,42.98
2019-01-19 02:21:31.510997,88.97
2019-01-19 02:21:32.514692,26.75
2019-01-19 02:21:33.521136,52.74
2019-01-19 02:21:34.526241,1.42
2019-01-19 02:21:35.530946,16.68
2019-01-19 02:21:36.534460,99.48
2019-01-19 02:21:37.537964,62.82
2019-01-19 02:21:38.541088,32.73
2019-01-19 02:21:39.542956,57.53
2019-01-19 02:21:40.545618,39.51
2019-01-19 02:21:41.549390,74.54
2019-01-19 02:21:42.553760,58.62
2019-01-19 02:21:43.558411,73.7
2019-01-19 02:21:44.565040,35.81
2019-01-19 02:21:45.669424,41.78
2019-01-19 02:21:46.672060,96.85
2019-01-19 02:21:47.678354,80.99
2019-01-19 02:21:48.685340,58.18
2019-01-19 02:21:49.690346,42.31
2019-01-19 02:21:50.695438,97.71
2019-01-19 02:21:51.699290,10.95
2019-01-19 02:21:52.701705,31.07
2019-01-19 02:21:53.705645,72.98
2019-01-19 02:21:54.708207,90.44
2019-01-19 02:21:55.710549,49.0
2019-01-19 02:21:56.715374,69.84
2019-01-19 02:21:57.718544,6.78
2019-01-19 02:21:58.719951,68.01
2019-01-19 02:21:59.721455,14.34
2019-01-19 02:22:00.726071,48.72
2019-01-19 02:22:01.731530,87.47
2019-01-19 02:22:02.733480,70.18
2019-01-19 02:22:03.735098,91.96
2019-01-19 02:22:04.739788,77.39
2019-01-19 02:22:05.745277,44.48
2019-01-19 02:22:06.748030,4.11
2019-01-19 02:22:07.750225,23.65
2019-01-19 02:22:08.752953,40.55
2019-01-19 02:22:09.756544,24.87
2019-01-19 02:22:10.760494,43.21
2019-01-19 02:22:11.764496,31.56
2019-01-19 02:22:12.767305,18.31
2019-01-19 02:22:13.771038,69.77
2019-01-19 02:22:14.774274,79.06
2019-01-19 02:22:15.783513,64.07
2019-01-19 02:22:16.786094,73.09
2019-01-19 02:22:17.791019,65.91
2019-01-19 02:22:18.795891,80.5
2019-01-19 02:22:19.797906,95.92
2019-01-19 02:22:20.801748,24.44
2019-01-19 02:22:21.803642,74.53
2019-01-19 02:22:22.806066,29.89
2019-01-19 02:22:23.807952,59.46
2019-01-19 02:22:24.813106,99.61
2019-01-19 02:22:25.816020,54.02
2019-01-19 02:22:26.818339,75.21
2019-01-19 02:22:27.824797,70.71
2019-01-19 02:22:28.830199,13.26
2019-01-19 02:22:29.835325,66.52
2019-01-19 02:22:30.837518,96.48
2019-01-19 02:22:31.840068,59.62
2019-01-19 02:22:32.844289,19.16
2019-01-19 02:22:33.851029,86.87
2019-01-19 02:22:34.855479,9.21
2019-01-19 02:22:35.859342,71.62
2019-01-19 02:22:36.862157,97.1
2019-01-19 02:22:37.865649,71.61
2019-01-19 02:22:38.869426,13.97
2019-01-19 02:22:39.872749,35.07
2019-01-19 02:22:40.875553,73.78
2019-01-19 02:22:41.878735,37.55
2019-01-19 02:22:42.881353,23.79
2019-01-19 02:22:43.885216,24.02
2019-01-19 02:22:44.887715,66.61
2019-01-19 02:22:45.891314,52.69
2019-01-19 02:22:46.898330,51.51
2019-01-19 02:22:47.901591,2.84
2019-01-19 02:22:48.903562,75.39
2019-01-19 02:22:49.905109,26.21
2019-01-19 02:22:50.907483,61.06
2019-01-19 02:22:51.911300,4.0
2019-01-19 02:22:52.916132,65.36
2019-01-19 02:22:53.919414,58.1
2019-01-19 02:22:54.925858,74.01
2019-01-19 02:22:55.927467,70.14
2019-01-19 02:22:56.928701,25.09
2019-01-19 02:22:57.931219,3.17
2019-01-19 02:22:58.932570,17.73
2019-01-19 02:22:59.938193,78.05
2019-01-19 02:23:00.940374,64.45
2019-01-19 02:23:01.942696,15.32
2019-01-19 02:23:02.948286,40.04
2019-01-19 02:23:03.950825,92.56
2019-01-19 02:23:04.956558,27.21
2019-01-19 02:23:05.958878,17.35
2019-01-19 02:23:06.960712,64.86
2019-01-19 02:23:07.964005,60.86
2019-01-19 02:23:08.970119,50.75
2019-01-19 02:23:09.971593,50.08
2019-01-19 02:23:10.975898,93.93
2019-01-19 02:23:11.982548,37.42
2019-01-19 02:23:12.989076,58.61
2019-01-19 02:23:13.990680,33.68
2019-01-19 02:23:14.993554,49.36
2019-01-19 02:23:16.003250,7.09
2019-01-19 02:23:17.008298,45.98
2019-01-19 02:23:18.014436,83.92
2019-01-19 02:23:19.017637,78.17
2019-01-19 02:23:20.020379,29.64
2019-01-19 02:23:21.023018,3.29
2019-01-19 02:23:22.026449,43.78
2019-01-19 02:23:23.030356,48.55
2019-01-19 02:23:24.034058,35.46
2019-01-19 02:23:25.035922,12.02
2019-01-19 02:23:26.039446,92.26
2019-01-19 02:23:27.042174,75.34
2019-01-19 02:23:28.050273,68.27
2019-01-19 02:23:29.056331,60.35
2019-01-19 02:23:30.058773,15.65
2019-01-19 02:23:31.062626,38.22
2019-01-19 02:23:32.067718,54.14
2019-01-19 02:23:33.072340,6.2
2019-01-19 02:23:34.074139,31.56
2019-01-19 02:23:35.076833,81.38
2019-01-19 02:23:36.082024,29.72
2019-01-19 02:23:37.084962,56.6
2019-01-19 02:23:38.091489,54.75
2019-01-19 02:23:39.096519,75.86
2019-01-19 02:23:40.099748,72.93
2019-01-19 02:23:41.102096,88.88
2019-01-19 02:23:42.105747,54.85
2019-01-19 02:23:43.109434,67.0
2019-01-19 02:23:44.112561,93.29
2019-01-19 02:23:45.114803,63.02
2019-01-19 02:23:46.119078,69.69
2019-01-19 02:23:47.125016,89.04
2019-01-19 02:23:48.126370,75.09
2019-01-19 02:23:49.129690,75.01
2019-01-19 02:23:50.131740,79.56
2019-01-19 02:23:51.135898,27.74
2019-01-19 02:23:52.139095,58.64
2019-01-19 02:23:53.141395,58.47
2019-01-19 02:23:54.146848,9.36
2019-01-19 02:23:55.150186,36.05
2019-01-19 02:23:56.155687,98.49
2019-01-19 02:23:57.158735,55.48
2019-01-19 02:23:58.164558,32.03
2019-01-19 02:23:59.167365,52.41
2019-01-19 02:24:00.170891,37.53
2019-01-19 02:24:01.173515,6.3
2019-01-19 02:24:02.175735,12.51
2019-01-19 02:24:03.183114,14.68
2019-01-19 02:24:04.189435,76.53
2019-01-19 02:24:05.192883,59.67
2019-01-19 02:24:06.195155,12.23
2019-01-19 02:24:07.199357,46.7
2019-01-19 02:24:08.203857,57.18
2019-01-19 02:24:09.207312,43.92
2019-01-19 02:24:10.210200,1.0
2019-01-19 02:24:11.211786,38.0
2019-01-19 02:24:12.215748,5.37
2019-01-19 02:24:13.220851,70.0
2019-01-19 02:24:14.225573,5.6
2019-01-19 02:24:15.229980,86.77
2019-01-19 02:24:16.233128,41.11
2019-01-19 02:24:17.236706,38.37
2019-01-19 02:24:18.239036,73.31
2019-01-19 02:24:19.242272,81.99
2019-01-19 02:24:20.246881,57.0
2019-01-19 02:24:21.250124,62.66
2019-01-19 02:24:22.258252,41.96
2019-01-19 02:24:23.261699,23.9
2019-01-19 02:24:24.265217,79.42
2019-01-19 02:24:25.271676,3.85
2019-01-19 02:24:26.278272,87.87
2019-01-19 02:24:27.280451,28.09
2019-01-19 02:24:28.286713,35.55
2019-01-19 02:24:29.291310,29.92
2019-01-19 02:24:30.293667,68.89
2019-01-19 02:24:31.296099,93.35
2019-01-19 02:24:32.297780,31.2
2019-01-19 02:24:33.300118,43.88
2019-01-19 02:24:34.301656,59.86
2019-01-19 02:24:35.304477,84.28
2019-01-19 02:24:36.309512,63.07
2019-01-19 02:24:37.313240,39.71
2019-01-19 02:24:38.319470,72.44
2019-01-19 02:24:39.325072,30.56
2019-01-19 02:24:40.326806,18.95
2019-01-19 02:24:41.331860,73.2
2019-01-19 02:24:42.336381,14.88
2019-01-19 02:24:43.338937,62.45
2019-01-19 02:24:44.346896,55.26
2019-01-19 02:24:45.351679,50.74
2019-01-19 02:24:46.354671,11.36
2019-01-19 02:24:47.359127,67.19
2019-01-19 02:24:48.364020,23.46
2019-01-19 02:24:49.369229,93.89
2019-01-19 02:24:50.373925,1.08
2019-01-19 02:24:51.379340,32.78
2019-01-19 02:24:52.384030,55.55
2019-01-19 02:24:53.386023,90.54
2019-01-19 02:24:54.389436,18.66
2019-01-19 02:24:55.394443,33.77
2019-01-19 02:24:56.401519,12.6
2019-01-19 02:24:57.404680,97.17
2019-01-19 02:24:58.407703,58.33
2019-01-19 02:24:59.409389,96.75
2019-01-19 02:25:00.411251,79.3
2019-01-19 02:25:01.412844,12.92
2019-01-19 02:25:02.417290,58.17
2019-01-19 02:25:03.420750,60.83
2019-01-19 02:25:04.426437,41.75
2019-01-19 02:25:05.432884,88.43
2019-01-19 02:25:06.439342,47.43
2019-01-19 02:25:07.443380,92.98
2019-01-19 02:25:08.449366,92.22
2019-01-19 02:25:09.454867,5.56
2019-01-19 02:25:10.458297,0.9
2019-01-19 02:25:11.461774,8.27
2019-01-19 02:25:12.465150,46.25
2019-01-19 02:25:13.467091,30.15
2019-01-19 02:25:14.470872,43.98
2019-01-19 02:25:15.473681,36.84
2019-01-19 02:25:16.476742,26.31
2019-01-19 02:25:17.480036,36.95
2019-01-19 02:25:18.483189,13.71
2019-01-19 02:25:19.486308,91.29
2019-01-19 02:25:20.489650,44.01
2019-01-19 02:25:21.493821,62.25
2019-01-19 02:25:22.500330,49.04
2019-01-19 02:25:23.501840,45.8
2019-01-19 02:25:24.506248,80.85
2019-01-19 02:25:25.510589,37.5
2019-01-19 02:25:26.513327,45.41
2019-01-19 02:25:27.514692,34.73
2019-01-19 02:25:28.521508,85.52
2019-01-19 02:25:29.528083,58.63
2019-01-19 02:25:30.529812,87.54
2019-01-19 02:25:31.536411,47.23
2019-01-19 02:25:32.539248,51.65
2019-01-19 02:25:33.542828,36.93
2019-01-19 02:25:34.545052,80.68
2019-01-19 02:25:35.547378,0.32
2019-01-19 02:25:36.549982,29.71
2019-01-19 02:25:37.552181,17.68
2019-01-19 02:25:38.555013,37.73
2019-01-19 02:25:39.559932,9.49
2019-01-19 02:25:40.564837,37.49
2019-01-19 02:25:41.571345,58.06
2019-01-19 02:25:42.576887,14.35
2019-01-19 02:25:43.579666,75.39
2019-01-19 02:25:44.581381,3.41
2019-01-19 02:25:45.587366,73.68
2019-01-19 02:25:46.590440,60.82
2019-01-19 02:25:47.593396,23.79
2019-01-19 02:25:48.596850,42.73
2019-01-19 02:25:49.599250,39.34
2019-01-19 02:25:50.602327,22.48
2019-01-19 02:25:51.604519,59.97
2019-01-19 02:25:52.609853,94.17
2019-01-19 02:25:53.613095,23.37
2019-01-19 02:25:54.616018,29.2
2019-01-19 02:25:55.619603,54.04
2019-01-19 02:25:56.622792,81.92
2019-01-19 02:25:57.626034,83.66
2019-01-19 02:25:58.629013,76.69
2019-01-19 02:25:59.632494,21.38
2019-01-19 02:26:00.635728,87.0
2019-01-19 02:26:01.639167,44.61
2019-01-19 02:26:02.642497,74.15
2019-01-19 02:26:03.647993,66.37
2019-01-19 02:26:04.654440,55.76
2019-01-19 02:26:05.660104,58.17
2019-01-19 02:26:06.666852,40.65
2019-01-19 02:26:07.668506,28.25
2019-01-19 02:26:08.669712,7.71
2019-01-19 02:26:09.670829,67.86
2019-01-19 02:26:10.676186,40.67
2019-01-19 02:26:11.679674,58.51
2019-01-19 02:26:12.686215,8.43
2019-01-19 02:26:13.688410,90.64
2019-01-19 02:26:14.690585,74.82
2019-01-19 02:26:15.692688,81.18
2019-01-19 02:26:16.694975,7.73
2019-01-19 02:26:17.696880,65.4
2019-01-19 02:26:18.698554,48.81
2019-01-19 02:26:19.703043,38.11
2019-01-19 02:26:20.704431,18.93
